Begrotingsjaar,Uitgaven Ontvangsten Verplichtingen,Begrotingsnummer,Naam Begroting ,Artikel nummer,Artikel,Stand ontwerpbegroting,Stand vastgestelde begroting,Stand eerste suppletoire,Stand tweede suppletoire,Realisatie
2015,O,IXB,Financien,1,Belastingen,997220,997220,920263,832272,849467
2015,U,IXB,Financien,1,Belastingen,3222131,3222131,3297269,3200462,3190076
2015,V,IXB,Financien,1,Belastingen,3222131,3222131,3297269,3200462,3259300
2015,O,IXB,Financien,2,Financiele Markten,12515,12515,18003,73927,80674
2015,U,IXB,Financien,2,Financiele Markten,21500,21500,25307,21385,17286
2015,V,IXB,Financien,2,Financiele Markten,21500,21500,-4228792,-4214714,-4225045
2015,O,IXB,Financien,3,Financ. act. Publiek-Private sector,2929491,2929491,2324861,7022683,7518712
2015,U,IXB,Financien,3,Financ. act. Publiek-Private sector,19314,19314,28898,1144228,1137790
2015,V,IXB,Financien,3,Financ. act. Publiek-Private sector,19314,19314,28898,2742278,1760839
2015,O,IXB,Financien,4,Internationale Fin. Betrekkingen,24579,24579,25244,19497,18702
2015,U,IXB,Financien,4,Internationale Fin. Betrekkingen,384077,384077,384253,463977,356416
2015,V,IXB,Financien,4,Internationale Fin. Betrekkingen,290606,290606,1209391,1286115,3729791
2015,O,IXB,Financien,5,Exportkrediet- en investeringsverzekering,103250,103250,193250,218350,236691
2015,U,IXB,Financien,5,Exportkrediet- en investeringsverzekering,88058,88058,88058,113158,130837
2015,V,IXB,Financien,5,Exportkrediet- en investeringsverzekering,10616438,10616438,10616438,10616438,2475497
2015,U,IXB,Financien,6,BTW-Compensatiefonds,2901122,2901122,2901122,2862444,2870250
2015,V,IXB,Financien,6,BTW-Compensatiefonds,2901122,2901122,2901122,2862444,2870250
2015,O,IXB,Financien,7,Beheer materiele activa,1800,1800,1800,1800,2
2015,U,IXB,Financien,7,Beheer materiele activa,306,306,306,306,0
2015,V,IXB,Financien,7,Beheer materiele activa,306,306,306,306,0
2015,U,IXB,Financien,10,Nominaal en onvoorzien,50043,50043,13716,472,0
2015,V,IXB,Financien,10,Nominaal en onvoorzien,50043,50043,13716,472,0
2015,O,IXB,Financien,21,Centraal Apparaat,55903,55903,72422,64635,69490
2015,U,IXB,Financien,21,Centraal Apparaat,236162,236162,245318,237741,229684
2015,V,IXB,Financien,21,Centraal Apparaat,236162,236162,245318,237691,231903
2015,O,J,Deltafonds,1,Investeren in waterveiligheid,246003,246003,231601,204648,207416
2015,U,J,Deltafonds,1,Investeren in waterveiligheid,903737,903737,791670,716924,715458
2015,V,J,Deltafonds,1,Investeren in waterveiligheid,1021070,1021070,776801,435846,254312
2015,O,J,Deltafonds,2,Investeren in zoetwatervoorziening,4000,4000,3151,1355,2220
2015,U,J,Deltafonds,2,Investeren in zoetwatervoorziening,6249,6249,20090,10125,8336
